,strategy
1991-09-30,1.0378542030538316
1991-10-01,1.0390225400242277
1991-10-02,1.033736616286037
1991-10-03,1.0151486921009465
1991-10-04,1.0016675365333396
1991-10-07,0.9929922246967892
1991-10-08,0.997064921014039
1991-10-09,0.9823558301054233
1991-10-10,0.9954327403477091
1991-10-11,0.9988416746839033
1991-10-15,1.0362209620830554
1991-10-16,1.044499411014967
1991-10-17,1.039595510307355
1991-10-18,1.0422373414105421
1991-10-21,1.0301922239728851
1991-10-22,1.0205915508854497
1991-10-23,1.0210637833903
1991-10-24,1.0079058063493078
1991-10-25,1.0035945026504332
1991-10-28,1.029346799983789
1991-10-29,1.039309016580061
1991-10-30,1.0467647119467176
1991-10-31,1.0494525734104374
1991-11-01,1.0386963399949278
1991-11-04,1.033631169215873
1991-11-05,1.0266955743228972
1991-11-06,1.0321353608098163
1991-11-07,1.048404103895363
1991-11-08,1.0445321396760803
1991-11-12,1.0636406489919827
1991-11-13,1.0676687596611754
1991-11-14,1.0660437193756063
1991-11-15,0.9769576722148464
1991-11-18,0.9835938291530578
1991-11-19,0.9637987338250156
1991-11-20,0.961365502682669
1991-11-21,0.9655192364729075
1991-11-22,0.9533802132285819
1991-11-25,0.9513724839784757
1991-11-26,0.9575229088125433
1991-11-27,0.9534656543196679
1991-11-29,0.9496559388274918
1991-12-02,0.9689547010472706
1991-12-03,0.9677732760004898
1991-12-04,0.965266142248201
1991-12-05,0.957598261017411
1991-12-06,0.9621742191708642
1991-12-09,0.9596418253580281
1991-12-10,0.9586319294784303
1991-12-11,0.958078852186469
1991-12-12,0.9680031186765458
1991-12-13,0.9767498607401686
1991-12-16,0.9767088622964732
1991-12-17,0.970649276809333
1991-12-18,0.9731010636332152
1991-12-19,0.9697803886070112
1991-12-20,0.9850500815916733
1991-12-23,1.0193999266523768
1991-12-24,1.029438086727116
1991-12-26,1.0542968107145483
1991-12-27,1.0618894200753328
1991-12-30,1.1014330541664241
1991-12-31,1.1125692030772378
1992-01-02,1.1125258200564565
1992-01-03,1.1188698507697177
1992-01-06,1.1145614334171148
1992-01-07,1.112850872801391
1992-01-08,1.1149226811665354
1992-01-09,1.113386265520083
1992-01-10,1.1057321886796223
1992-01-13,1.1032832038106322
1992-01-14,1.1238586582418515
1992-01-15,1.1251020938699468
1992-01-16,1.1157908111217318
1992-01-17,1.1180741591091754
1992-01-21,1.0925266403718055
1992-01-22,1.1111241224147936
1992-01-23,1.0987734403322704
1992-01-24,1.1008508247105298
1992-01-27,1.0988151222079852
1992-01-28,1.0986870320329964
1992-01-29,1.0825780933810585
1992-01-30,1.0870415151537796
1992-01-31,1.0805353057898894
1992-02-03,1.0816230926477335
1992-02-04,1.094915431674796
1992-02-05,1.0948793991103982
1992-02-06,1.0948143152955152
1992-02-07,1.086915894008819
1992-02-10,1.0948961388259288
1992-02-11,1.0948638890122044
1992-02-12,1.105845829373735
1992-02-13,1.0941723230318017
1992-02-14,1.0901095671808303
1992-02-18,1.0721633916655462
1992-02-19,1.074852878023365
1992-02-20,1.0943106222047005
1992-02-21,1.0852853256425017
1992-02-24,1.0882827923165148
1992-02-25,1.0819561415163208
1992-02-26,1.1005972270322437
1992-02-27,1.0950843720723422
1992-02-28,1.0907287318476273
1992-03-02,1.091403129781689
1992-03-03,1.092847383737517
1992-03-04,1.0806110362564498
1992-03-05,1.0715113158508345
1992-03-06,1.0652544084119648
1992-03-09,1.067287305009747
1992-03-10,1.071754380430681
1992-03-11,1.06331046915609
1992-03-12,1.0629426706154246
1992-03-13,1.068102439457556
1992-03-16,1.0697798629951778
1992-03-17,1.0794116833932161
1992-03-18,1.0778315069313096
1992-03-19,1.0802262230474022
1992-03-20,1.0858816806431464
1992-03-23,1.0808015613676367
1992-03-24,1.0769990717838043
1992-03-25,1.0717299499612065
1992-03-26,1.0730531349797805
1992-03-27,1.0561412223706697
1992-03-30,1.0541361910667217
1992-03-31,1.060972471425013
1992-04-01,1.0605451065555025
1992-04-02,1.0462302699122794
1992-04-03,1.049964056198683
1992-04-06,1.0649566773679613
1992-04-07,1.0368702142776616
1992-04-08,1.0264627472349475
1992-04-09,1.0420836461778409
1992-04-10,1.053854934275211
1992-04-13,1.0603706577600815
1992-04-14,1.0830237437879868
1992-04-15,1.0988939788681569
1992-04-16,1.0977820220343317
1992-04-20,1.0699276338934145
1992-04-21,1.0702419887546188
1992-04-22,1.068526560451485
1992-04-23,1.075788683036428
1992-04-24,1.065092776160288
1992-04-27,1.062692237675585
1992-04-28,1.0651893239956856
1992-04-29,1.0765835658004248
1992-04-30,1.0927467713626287
1992-05-01,1.0787092746071534
1992-05-04,1.0954704314500696
1992-05-05,1.09520176242597
1992-05-06,1.0950005377293643
1992-05-07,1.091460259783073
1992-05-08,1.0922248964065329
1992-05-11,1.1027765673918317
1992-05-12,1.0925824950268703
1992-05-13,1.0932583711945079
1992-05-14,1.0780274742990446
1992-05-15,1.0646123427657683
1992-05-18,1.0775830524089038
1992-05-19,1.0951282581330515
1992-05-20,1.0894470077461373
1992-05-21,1.0734850127702675
1992-05-22,1.0811644083489005
1992-05-26,1.0665329091701616
1992-05-27,1.0700910967369528
1992-05-28,1.0945590168944275
1992-05-29,1.086755544105823
