,tecl
2016-01-27,0.020116529974048378
2016-01-28,0.020895480013816383
2016-01-29,0.022870175153989303
2016-02-01,0.023097030109881872
2016-02-02,0.021857198202766968
2016-02-03,0.02177561642078254
2016-02-04,0.02183905079676565
2016-02-05,0.020000296258598636
2016-02-08,0.01913359365604111
2016-02-09,0.018867384668166832
2016-02-10,0.01895422170378384
2016-02-11,0.018836189658587774
2016-02-12,0.019623276168989467
2016-02-16,0.020671818361401386
2016-02-17,0.021943182928720748
2016-02-18,0.021684031008541285
2016-02-19,0.021731154548324378
2016-02-22,0.022596056426794638
2016-02-23,0.02152561917462323
2016-02-24,0.02201837085722476
2016-02-25,0.02284190125309723
2016-02-26,0.022658725822618055
2016-02-29,0.022179977932564023
2016-03-01,0.024140488126990736
2016-03-02,0.02434543818095176
2016-03-03,0.024344398929045222
2016-03-04,0.024533244829661346
2016-03-07,0.02408109149826825
2016-03-08,0.023634547786476907
2016-03-09,0.024242716825554296
2016-03-10,0.024172847568767905
2016-03-11,0.025288270698914275
2016-03-14,0.025375689735962898
2016-03-15,0.025658394467733867
2016-03-16,0.026550713666512352
2016-03-17,0.02684200467856593
2016-03-18,0.02697040046709815
2016-03-21,0.02724765873595538
2016-03-22,0.027265180198094284
2016-03-23,0.026796608604206133
2016-03-24,0.027017222616595046
2016-03-28,0.0268116858964296
2016-03-29,0.028067622638723626
2016-03-30,0.02856185622696955
2016-03-31,0.028387156886576916
2016-04-01,0.029012389957061457
2016-04-04,0.02868014893898551
2016-04-05,0.02784809310186533
2016-04-06,0.02866149811131852
2016-04-07,0.027424482586466625
2016-04-08,0.027423311897091393
2016-04-11,0.027197206003034588
2016-04-12,0.027755252866472346
2016-04-13,0.028604317906366104
2016-04-14,0.028583809889583377
2016-04-15,0.02825507692029104
2016-04-18,0.028617100245095884
2016-04-19,0.028133880298420965
2016-04-20,0.028304239346172936
2016-04-21,0.02799682411384014
2016-04-22,0.02653277101617616
2016-04-25,0.02654996589744406
2016-04-26,0.026163891284550253
2016-04-27,0.025799722604800405
2016-04-28,0.024827511507440635
2016-04-29,0.02417803210777343
2016-05-01,0.024155667428073742
2016-05-02,0.024687858709054596
2016-05-03,0.024006204140480943
2016-05-04,0.02378253278877587
2016-05-05,0.02381555750701305
2016-05-06,0.02434263024665948
2016-05-09,0.024341591114617332
2016-05-10,0.02529116855238699
2016-05-11,0.024740533229976745
2016-05-12,0.02452986764873652
2016-05-13,0.024250933870954262
2016-05-16,0.025266808880528076
2016-05-17,0.02450418618625873
2016-05-18,0.0246419344822067
2016-05-19,0.024240345094789766
2016-05-20,0.02511775524192463
2016-05-23,0.024975611999554264
2016-05-24,0.026379961046652203
2016-05-25,0.02692526373565983
2016-05-26,0.02718260485936316
2016-05-27,0.027571629846734818
2016-05-31,0.027739239926501017
2016-06-01,0.02750454952359726
2016-06-02,0.027428506638307423
2016-06-03,0.027240500375702432
2016-06-06,0.027388102486865556
2016-06-07,0.02772292321583552
2016-06-08,0.027891092091522064
2016-06-09,0.027908797503185458
2016-06-10,0.02726500973775796
2016-06-13,0.026352127677329244
2016-06-14,0.026532845043546558
2016-06-15,0.026330748058791868
2016-06-16,0.02649321812768143
2016-06-17,0.0259620826889194
2016-06-20,0.026286639051852013
2016-06-21,0.0268327735285296
2016-06-22,0.026554251081190115
2016-06-23,0.02763658951179201
2016-06-24,0.024448752524509093
2016-06-27,0.022973161358337803
2016-06-28,0.024336242399073876
2016-06-29,0.025458403081710768
2016-06-30,0.02629407037843453
2016-07-01,0.026449204937249414
2016-07-05,0.025863967336720396
2016-07-06,0.026402311260503655
2016-07-07,0.026401184205319412
2016-07-08,0.027639606573688025
2016-07-11,0.028126939368609813
2016-07-12,0.028810085864264815
2016-07-13,0.028828150927176655
2016-07-14,0.029387270435683874
2016-07-15,0.02930772707273853
2016-07-18,0.029892514379459945
2016-07-19,0.02969330560545696
2016-07-20,0.030854557617435267
2016-07-21,0.030368187291109388
2016-07-22,0.030906792104354684
2016-07-25,0.03078408161630918
2016-07-26,0.03098454699068927
2016-07-27,0.031753288741439414
2016-07-28,0.031813712393972446
2016-07-29,0.03216295020049961
2016-08-01,0.03231636817803402
2016-08-02,0.03158588666615382
2016-08-03,0.03191276565135621
2016-08-04,0.03242779937633998
2016-08-05,0.033365839912643996
2016-08-08,0.03334314469196228
2016-08-09,0.03355436542689256
2016-08-10,0.03323262728650132
2016-08-11,0.033591899098883014
2016-08-12,0.033483613785291286
2016-08-15,0.033972637981385265
2016-08-16,0.03321764459960617
2016-08-17,0.03317382827274995
2016-08-18,0.03321477259359216
2016-08-19,0.0332769854466101
2016-08-22,0.033275564927073245
2016-08-23,0.033635044616873055
2016-08-24,0.03307766165195682
2016-08-25,0.03328770364694026
2016-08-26,0.03332874290731523
2016-08-29,0.033709848409386456
2016-08-30,0.03336581563575024
2016-08-31,0.033194262001145954
2016-09-01,0.03347753050885345
2016-09-02,0.03392351650798352
2016-09-06,0.03443791007667684
2016-09-07,0.034696929322712504
2016-09-08,0.03384457142874695
2016-09-09,0.03135412679757525
2016-09-12,0.03292187045019992
2016-09-13,0.03220492466692434
2016-09-14,0.03265977159411285
2016-09-15,0.03427007778860306
2016-09-16,0.03389106626895607
2016-09-19,0.03369582479930203
2016-09-20,0.033630026089443786
2016-09-21,0.03476409647238896
2016-09-22,0.03539775285652305
2016-09-23,0.03446529492725299
2016-09-26,0.033854185238490285
2016-09-27,0.03497142824349641
2016-09-28,0.035167755800953125
2016-09-29,0.03452646215318527
2016-09-30,0.035069799052490094
2016-10-01,0.035034729253437605
2016-10-03,0.034725276738888984
2016-10-04,0.03435204909535278
2016-10-05,0.03471964945402516
2016-10-06,0.03495865074451101
2016-10-07,0.034671626132152224
2016-10-10,0.03539098052733679
2016-10-11,0.03419376550017463
2016-10-12,0.03436539259073745
2016-10-13,0.033712656202439295
2016-10-14,0.03409699878643143
2016-10-17,0.03387958875904656
2016-10-18,0.03443720878027632
2016-10-19,0.03463134813795286
2016-10-20,0.03414988939191645
2016-10-21,0.03442942651419534
2016-10-24,0.03542757858837924
2016-10-25,0.03504955961632109
2016-10-26,0.03445438682628057
2016-10-27,0.03432248788268907
2016-10-28,0.034212606050174156
2016-10-31,0.034167859955843115
2016-11-01,0.03324515538612021
2016-11-02,0.03260723809228345
2016-11-03,0.03166345513957268
2016-11-04,0.03149783228598297
2016-11-07,0.0335426881089704
2016-11-08,0.0340318153307843
2016-11-09,0.033901144969414654
2016-11-10,0.032267283993213144
2016-11-11,0.0325567904924005
2016-11-14,0.031071458048549654
2016-11-15,0.03238669787425667
2016-11-16,0.03328052510307517
2016-11-17,0.03391501938095368
2016-11-18,0.03382770696060018
2016-11-21,0.03485481968504389
2016-11-22,0.035181183436274764
2016-11-23,0.03476183702285183
2016-11-25,0.03519666961129284
2016-11-28,0.03528316277295302
2016-11-29,0.03534777600365013
2016-11-30,0.03408883131842348
2016-12-01,0.03193143382425927
2016-12-02,0.032280137031685946
2016-12-05,0.033212104272855585
2016-12-06,0.033506594580265496
2016-12-07,0.03541862474662462
2016-12-08,0.03568173626735124
2016-12-09,0.036455917739099196
2016-12-12,0.03611714988483425
2016-12-13,0.03747837011755872
2016-12-14,0.03708758017862785
2016-12-15,0.037586146685615274
2016-12-16,0.03676899148804373
2016-12-19,0.03756197939052231
2016-12-20,0.037974830293179745
2016-12-21,0.03774129361331474
2016-12-22,0.03750868581252005
2016-12-23,0.03762208732718482
2016-12-27,0.03808146733672106
2016-12-28,0.0370575097092851
2016-12-29,0.03707874578393473
2016-12-30,0.036209917053523805
2017-01-01,0.03615107593831183
2017-01-03,0.03711384886626598
2017-01-04,0.03750021790878373
2017-01-05,0.0376824369351189
2017-01-06,0.03851070888612101
2017-01-09,0.03848565497446387
2017-01-10,0.03850741159636748
2017-01-11,0.039043624499431336
2017-01-12,0.03875875532094891
2017-01-13,0.03910935861164293
2017-01-17,0.0386587967643626
2017-01-18,0.03896191249833533
2017-01-19,0.03879530807435127
2017-01-20,0.03942810690487689
2017-01-23,0.039640180300563155
2017-01-24,0.040377425912378154
2017-01-25,0.04153393816576689
2017-01-26,0.04118796033940656
2017-01-27,0.04167515416097368
2017-01-30,0.040663139302434786
2017-01-31,0.04005545678959317
2017-02-01,0.040899456510529536
2017-02-02,0.040654547473583345
2017-02-03,0.04145202138799333
2017-02-06,0.04152384303553809
2017-02-07,0.04201328027161767
2017-02-08,0.04223424876699178
2017-02-09,0.04262989646374535
2017-02-10,0.043002968438021046
2017-02-13,0.04357927962085296
2017-02-14,0.044008597312844254
2017-02-15,0.04444067200013675
2017-02-16,0.04474708531381
2017-02-17,0.04520976541505362
2017-02-21,0.04590950870733063
2017-02-22,0.04606506888828884
2017-02-23,0.04603678499375132
2017-02-24,0.04635045345291715
2017-02-27,0.0462692099528475
2017-02-28,0.04560749336144897
2017-03-01,0.04744953493109218
2017-03-02,0.04650907314794515
2017-03-03,0.04682454762574629
2017-03-06,0.04660996771288817
2017-03-07,0.04660797803837711
2017-03-08,0.04676492470777203
2017-03-09,0.04673639425649799
2017-03-10,0.04747751253614935
2017-03-13,0.047609558176621686
2017-03-14,0.047285132620810966
2017-03-15,0.0482459300390509
2017-03-16,0.04832516543097414
2017-03-17,0.04863635720330944
2017-03-20,0.04877104591882264
2017-03-21,0.0466314279579822
2017-03-22,0.0475069056918278
2017-03-23,0.04712798102729117
2017-03-24,0.04723307221698002
2017-03-27,0.04723105594354151
2017-03-28,0.04824806820370735
2017-03-29,0.048490781562542794
2017-03-30,0.04876158704019983
2017-03-31,0.04848561990778075
2017-04-01,0.048376527262988245
2017-04-03,0.048238329574079114
2017-04-04,0.04834496078586783
2017-04-05,0.04774425531984295
2017-04-06,0.047769189200292494
2017-04-07,0.04768619628663982
2017-04-10,0.047414516174680905
2017-04-11,0.04687531683001005
2017-04-12,0.046393551573874064
2017-04-13,0.0458357059115838
2017-04-17,0.04709406951575288
2017-04-18,0.047065306595605066
2017-04-19,0.04695641790528693
2017-04-20,0.04823505594409185
2017-04-21,0.04793423893532893
2017-04-24,0.04963608132281844
2017-04-25,0.050408972169611564
2017-04-26,0.05023901491925144
2017-04-27,0.05085069646180869
2017-04-28,0.05124224749173079
2017-05-01,0.052282537301911944
2017-05-02,0.05262381057225232
2017-05-03,0.05233408256042965
2017-05-04,0.05221726430418478
2017-05-05,0.05278707216067524
2017-05-08,0.053476222013984484
2017-05-09,0.053677332977942
2017-05-10,0.054286788743678635
2017-05-11,0.05407902478990884
2017-05-12,0.05448656560595388
2017-05-15,0.05539624352893828
2017-05-16,0.05616728040059213
2017-05-17,0.05157181849689935
2017-05-18,0.05247636823932772
2017-05-19,0.053391430441446217
2017-05-22,0.054664963999768335
2017-05-23,0.05495719203052118
2017-05-24,0.05563465288924913
2017-05-25,0.05682422825147706
2017-05-26,0.05673114681232441
2017-05-30,0.05745320455097985
2017-05-31,0.05717678210788309
2017-06-01,0.057450487310486555
2017-06-02,0.05902952766835077
2017-06-05,0.05918184862501435
2017-06-06,0.05883809685049991
2017-06-07,0.05939174829385829
2017-06-08,0.059793368974671114
2017-06-09,0.05535626949209134
2017-06-12,0.054375655925119754
2017-06-13,0.055545017278818255
2017-06-14,0.0547405143214455
2017-06-15,0.05400268803812873
2017-06-16,0.05371642901577073
2017-06-19,0.05610586192704748
2017-06-20,0.05475257896986114
2017-06-21,0.055665736031266996
2017-06-22,0.055723083472709045
2017-06-23,0.056766458736525555
2017-06-26,0.05585659047631334
2017-06-27,0.05310126598056306
2017-06-28,0.05509464967807439
2017-06-29,0.05212861374192222
2017-06-30,0.05198364525084651
2017-07-01,0.05183419227075033
2017-07-03,0.05075208443785393
2017-07-05,0.05226294554513946
2017-07-06,0.05083224425460138
2017-07-07,0.05259677578432042
2017-07-10,0.053741876940699145
2017-07-11,0.05408874050041386
2017-07-12,0.05619037760965544
2017-07-13,0.05651765084837836
2017-07-14,0.058019410494331014
2017-07-17,0.05804754306536721
2017-07-18,0.058841213642268825
2017-07-19,0.059734776142111944
2017-07-20,0.06010675896732347
2017-07-21,0.05988478033848826
2017-07-24,0.06031988678789613
2017-07-25,0.059971804061373174
2017-07-26,0.0606575862870968
2017-07-27,0.05996143692348215
2017-07-28,0.059771149403014076
2017-07-31,0.05889451434311708
2017-08-01,0.05961762142647494
2017-08-02,0.06011317242625639
2017-08-03,0.059703655538081615
2017-08-04,0.06010619951568083
2017-08-07,0.061199142415287
2017-08-08,0.0609430995780625
2017-08-09,0.06084574263370173
2017-08-10,0.05724601253865702
2017-08-11,0.05842466680966497
2017-08-14,0.06121550477556882
2017-08-15,0.061497801225134825
2017-08-16,0.06203500964109943
2017-08-17,0.058391367812844375
2017-08-18,0.05820489114160656
2017-08-21,0.058141193783925835
2017-08-22,0.060737536080298526
2017-08-23,0.06029435750524412
2017-08-24,0.06013517702053312
2017-08-25,0.06010133928562862
2017-08-28,0.06044254262634966
2017-08-29,0.0612241036176443
2017-08-30,0.06255013938221367
2017-08-31,0.0636705742149169
2017-09-01,0.06332244823716236
2017-09-05,0.061639168821088546
2017-09-06,0.061795263230887555
2017-09-07,0.06242847568120477
2017-09-08,0.06088937935819781
2017-09-11,0.06346801582277989
2017-09-12,0.06391826705362297
2017-09-13,0.06365548266781038
2017-09-14,0.06300440638726544
2017-09-15,0.0637739225438967
2017-09-18,0.0639340839080757
2017-09-19,0.06477956556008276
2017-09-20,0.06398697412740591
2017-09-21,0.06293972062975803
2017-09-22,0.06303388772563125
2017-09-25,0.0608015234601658
2017-09-26,0.061461309707033965
2017-09-27,0.06333302282872548
2017-09-28,0.06355715071361016
2017-09-29,0.06485370480141538
2017-10-01,0.06466725040011131
2017-10-02,0.06495994530610541
2017-10-03,0.06541812596342421
2017-10-04,0.06528301453712831
2017-10-05,0.06716307794808227
2017-10-06,0.06746315999497197
2017-10-09,0.06796665850034049
2017-10-10,0.06816734598254896
2017-10-11,0.06884426874925242
