,spxl_simulation
1935-07-15,223.87319033481447
1935-07-16,224.49776798613163
1935-07-17,228.2973502866094
1935-07-18,227.64626049531526
1935-07-19,222.51183852315688
1935-07-22,234.4907455689882
1935-07-23,233.82811422763507
1935-07-24,239.03418413694246
1935-07-25,231.74767626634733
1935-07-26,235.62599214071707
1935-07-29,251.99457360549667
1935-07-30,245.13673550988983
1935-07-31,257.0689888561314
1935-08-01,254.17165654086574
1935-08-02,247.94525466045738
1935-08-05,264.9178101376818
1935-08-06,264.1975283796444
1935-08-07,263.47857257215975
1935-08-08,266.2959848840906
1935-08-09,285.5098252892826
1935-08-12,293.69833570834356
1935-08-13,299.0034475350791
1935-08-14,298.991392850633
1935-08-15,288.9873383769721
1935-08-16,219.85913170504298
1935-08-19,269.53594730046643
1935-08-20,271.6492693603524
1935-08-21,278.75576559808724
1935-08-22,281.6406910217693
1935-08-23,279.4423076758371
1935-08-26,272.17907862035787
1935-08-27,247.94274237411625
1935-08-28,246.59492571117582
1935-08-29,251.25029334481383
1935-08-30,255.9637593744769
1935-08-31,258.4298892588929
1935-09-01,258.30067431426346
1935-09-03,256.2220167777111
1935-09-04,266.49713804235677
1935-09-05,274.22794807505505
1935-09-06,287.12736233719863
1935-09-09,295.24900787387145
1935-09-10,302.76896699994853
1935-09-11,307.3519050284971
1935-09-12,296.5100003337106
1935-09-13,298.0082838682959
1935-09-16,285.87389843585396
1935-09-17,291.75668026925234
1935-09-18,299.2130921565873
1935-09-19,280.9748508176338
1935-09-20,257.6702710965438
1935-09-23,267.2710296882015
1935-09-24,277.1070817440006
1935-09-25,280.69782164570245
1935-09-26,280.68650497463216
1935-09-27,278.4955696530155
1935-09-30,283.2913053936863
1935-10-01,275.0721357684835
1935-10-02,247.74552022636314
1935-10-03,258.4488518606222
1935-10-04,265.3242808122041
1935-10-07,277.2251493677531
1935-10-08,271.44345788393645
1935-10-09,275.6997477127464
1935-10-10,292.2162455704035
1935-10-11,292.9511840574195
1935-10-14,302.6628594864116
1935-10-15,308.76505847010685
1935-10-16,290.16474718283587
1935-10-17,299.8087016911906
1935-10-18,296.7605770564721
1935-10-21,325.3944263307168
1935-10-22,330.18614742748815
1935-10-23,336.64178866736114
1935-10-24,334.99005699225916
1935-10-25,344.7731737646119
1935-10-28,347.25562020937014
1935-10-29,346.40553120719613
1935-10-30,338.87915634008453
1935-10-31,350.2931242870445
1935-11-01,362.78992033659176
1935-11-04,363.63839454779287
1935-11-06,384.3701400556218
1935-11-07,379.87132170318483
1935-11-08,389.64191900160307
1935-11-12,379.6740558400074
1935-11-13,392.9962449295282
1935-11-14,414.81352553045065
1935-11-15,419.5105918859434
1935-11-18,422.3431847178473
1935-11-19,439.4997507976975
1935-11-20,422.82936668631663
1935-11-21,435.2204050633096
1935-11-22,407.9610448982616
1935-11-25,411.6702690998322
1935-11-26,393.85002618441257
1935-11-27,402.9299912066484
1935-11-29,389.0620662283308
1935-11-30,392.47985345656843
1935-12-01,392.3326735115222
1935-12-02,375.03481411424093
1935-12-03,405.9049141194714
1935-12-04,416.11363519638377
1935-12-05,413.26186837197673
1935-12-06,410.42323695194074
1935-12-09,426.3242454417398
1935-12-10,404.22269360016077
1935-12-11,408.8384369085796
1935-12-12,392.0203744951446
1935-12-13,381.11511487406574
1935-12-16,424.73208767658775
1935-12-17,383.61185883141985
1935-12-18,380.0279106491399
1935-12-19,374.6933806630762
1935-12-20,381.7037753351621
1935-12-23,388.80087919541126
1935-12-24,400.48523067652326
1935-12-26,403.2226118097162
1935-12-27,402.28435248067734
1935-12-30,419.75875792293886
1935-12-31,435.8283791217768
1936-01-01,435.6104649322159
1936-01-02,432.6736963792284
1936-01-03,447.18633943626156
1936-01-06,433.3071841914588
1936-01-07,453.64642824123837
1936-01-08,461.62190859923646
1936-01-09,458.570745071262
1936-01-10,469.62236300867755
1936-01-13,463.46903010016325
1936-01-14,471.55767476008486
1936-01-15,462.31253492472916
